,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
2.0,"(0, 0, '0.01', '2.0', 0.7730000019073486)","(0, 1, '0.01', '3.111111111111111', 0.7799999713897705)","(0, 2, '0.01', '4.222222222222222', 0.746999979019165)","(0, 3, '0.01', '5.333333333333334', 0.703000009059906)","(0, 4, '0.01', '6.444444444444445', 0.7350000143051147)","(0, 5, '0.01', '7.555555555555555', 0.7149999737739563)","(0, 6, '0.01', '8.666666666666668', 0.7300000190734863)","(0, 7, '0.01', '9.777777777777779', 0.7129999995231628)","(0, 8, '0.01', '10.88888888888889', 0.7160000205039978)","(0, 9, '0.01', '12.0', 0.6769999861717224)"
3.111111111111111,"(1, 0, '0.020000000000000004', '2.0', 0.8579999804496765)","(1, 1, '0.020000000000000004', '3.111111111111111', 0.8629999756813049)","(1, 2, '0.020000000000000004', '4.222222222222222', 0.8679999709129333)","(1, 3, '0.020000000000000004', '5.333333333333334', 0.8560000061988831)","(1, 4, '0.020000000000000004', '6.444444444444445', 0.8460000157356262)","(1, 5, '0.020000000000000004', '7.555555555555555', 0.8119999766349792)","(1, 6, '0.020000000000000004', '8.666666666666668', 0.8270000219345093)","(1, 7, '0.020000000000000004', '9.777777777777779', 0.8159999847412109)","(1, 8, '0.020000000000000004', '10.88888888888889', 0.8100000023841858)","(1, 9, '0.020000000000000004', '12.0', 0.7710000276565552)"
4.222222222222222,"(2, 0, '0.030000000000000006', '2.0', 0.9200000166893005)","(2, 1, '0.030000000000000006', '3.111111111111111', 0.8949999809265137)","(2, 2, '0.030000000000000006', '4.222222222222222', 0.8740000128746033)","(2, 3, '0.030000000000000006', '5.333333333333334', 0.8980000019073486)","(2, 4, '0.030000000000000006', '6.444444444444445', 0.8899999856948853)","(2, 5, '0.030000000000000006', '7.555555555555555', 0.8799999952316284)","(2, 6, '0.030000000000000006', '8.666666666666668', 0.8840000033378601)","(2, 7, '0.030000000000000006', '9.777777777777779', 0.8410000205039978)","(2, 8, '0.030000000000000006', '10.88888888888889', 0.878000020980835)","(2, 9, '0.030000000000000006', '12.0', 0.871999979019165)"
5.333333333333334,"(3, 0, '0.04000000000000001', '2.0', 0.9559999704360962)","(3, 1, '0.04000000000000001', '3.111111111111111', 0.9419999718666077)","(3, 2, '0.04000000000000001', '4.222222222222222', 0.9229999780654907)","(3, 3, '0.04000000000000001', '5.333333333333334', 0.9390000104904175)","(3, 4, '0.04000000000000001', '6.444444444444445', 0.9390000104904175)","(3, 5, '0.04000000000000001', '7.555555555555555', 0.9110000133514404)","(3, 6, '0.04000000000000001', '8.666666666666668', 0.921999990940094)","(3, 7, '0.04000000000000001', '9.777777777777779', 0.9010000228881836)","(3, 8, '0.04000000000000001', '10.88888888888889', 0.9089999794960022)","(3, 9, '0.04000000000000001', '12.0', 0.9129999876022339)"
6.444444444444445,"(4, 0, '0.05000000000000001', '2.0', 0.9620000123977661)","(4, 1, '0.05000000000000001', '3.111111111111111', 0.9610000252723694)","(4, 2, '0.05000000000000001', '4.222222222222222', 0.9549999833106995)","(4, 3, '0.05000000000000001', '5.333333333333334', 0.9459999799728394)","(4, 4, '0.05000000000000001', '6.444444444444445', 0.9470000267028809)","(4, 5, '0.05000000000000001', '7.555555555555555', 0.9409999847412109)","(4, 6, '0.05000000000000001', '8.666666666666668', 0.9330000281333923)","(4, 7, '0.05000000000000001', '9.777777777777779', 0.9269999861717224)","(4, 8, '0.05000000000000001', '10.88888888888889', 0.9229999780654907)","(4, 9, '0.05000000000000001', '12.0', 0.9160000085830688)"
7.555555555555555,"(5, 0, '0.06000000000000001', '2.0', 0.9629999995231628)","(5, 1, '0.06000000000000001', '3.111111111111111', 0.9620000123977661)","(5, 2, '0.06000000000000001', '4.222222222222222', 0.9670000076293945)","(5, 3, '0.06000000000000001', '5.333333333333334', 0.9599999785423279)","(5, 4, '0.06000000000000001', '6.444444444444445', 0.9549999833106995)","(5, 5, '0.06000000000000001', '7.555555555555555', 0.953000009059906)","(5, 6, '0.06000000000000001', '8.666666666666668', 0.9520000219345093)","(5, 7, '0.06000000000000001', '9.777777777777779', 0.9480000138282776)","(5, 8, '0.06000000000000001', '10.88888888888889', 0.9470000267028809)","(5, 9, '0.06000000000000001', '12.0', 0.949999988079071)"
8.666666666666668,"(6, 0, '0.07', '2.0', 0.9789999723434448)","(6, 1, '0.07', '3.111111111111111', 0.9800000190734863)","(6, 2, '0.07', '4.222222222222222', 0.9710000157356262)","(6, 3, '0.07', '5.333333333333334', 0.9729999899864197)","(6, 4, '0.07', '6.444444444444445', 0.972000002861023)","(6, 5, '0.07', '7.555555555555555', 0.9649999737739563)","(6, 6, '0.07', '8.666666666666668', 0.9380000233650208)","(6, 7, '0.07', '9.777777777777779', 0.9700000286102295)","(6, 8, '0.07', '10.88888888888889', 0.9660000205039978)","(6, 9, '0.07', '12.0', 0.9670000076293945)"
9.777777777777779,"(7, 0, '0.08', '2.0', 0.9879999756813049)","(7, 1, '0.08', '3.111111111111111', 0.9890000224113464)","(7, 2, '0.08', '4.222222222222222', 0.9860000014305115)","(7, 3, '0.08', '5.333333333333334', 0.9750000238418579)","(7, 4, '0.08', '6.444444444444445', 0.9829999804496765)","(7, 5, '0.08', '7.555555555555555', 0.9739999771118164)","(7, 6, '0.08', '8.666666666666668', 0.9660000205039978)","(7, 7, '0.08', '9.777777777777779', 0.9750000238418579)","(7, 8, '0.08', '10.88888888888889', 0.9739999771118164)","(7, 9, '0.08', '12.0', 0.9729999899864197)"
10.88888888888889,"(8, 0, '0.09000000000000001', '2.0', 0.9890000224113464)","(8, 1, '0.09000000000000001', '3.111111111111111', 0.9909999966621399)","(8, 2, '0.09000000000000001', '4.222222222222222', 0.9829999804496765)","(8, 3, '0.09000000000000001', '5.333333333333334', 0.9869999885559082)","(8, 4, '0.09000000000000001', '6.444444444444445', 0.9860000014305115)","(8, 5, '0.09000000000000001', '7.555555555555555', 0.984000027179718)","(8, 6, '0.09000000000000001', '8.666666666666668', 0.9750000238418579)","(8, 7, '0.09000000000000001', '9.777777777777779', 0.9610000252723694)","(8, 8, '0.09000000000000001', '10.88888888888889', 0.9750000238418579)","(8, 9, '0.09000000000000001', '12.0', 0.9670000076293945)"
12.0,"(9, 0, '0.1', '2.0', 0.9919999837875366)","(9, 1, '0.1', '3.111111111111111', 0.9940000176429749)","(9, 2, '0.1', '4.222222222222222', 0.996999979019165)","(9, 3, '0.1', '5.333333333333334', 0.9850000143051147)","(9, 4, '0.1', '6.444444444444445', 0.9850000143051147)","(9, 5, '0.1', '7.555555555555555', 0.9869999885559082)","(9, 6, '0.1', '8.666666666666668', 0.9860000014305115)","(9, 7, '0.1', '9.777777777777779', 0.9670000076293945)","(9, 8, '0.1', '10.88888888888889', 0.9819999933242798)","(9, 9, '0.1', '12.0', 0.9779999852180481)"
