,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
2.0,"(0, 0, '0.01', '2.0', 0.7400000095367432)","(0, 1, '0.01', '3.111111111111111', 0.703000009059906)","(0, 2, '0.01', '4.222222222222222', 0.6650000214576721)","(0, 3, '0.01', '5.333333333333334', 0.6470000147819519)","(0, 4, '0.01', '6.444444444444445', 0.6639999747276306)","(0, 5, '0.01', '7.555555555555555', 0.5989999771118164)","(0, 6, '0.01', '8.666666666666668', 0.6200000047683716)","(0, 7, '0.01', '9.777777777777779', 0.6110000014305115)","(0, 8, '0.01', '10.88888888888889', 0.5960000157356262)","(0, 9, '0.01', '12.0', 0.6039999723434448)"
3.111111111111111,"(1, 0, '0.020000000000000004', '2.0', 0.8090000152587891)","(1, 1, '0.020000000000000004', '3.111111111111111', 0.7820000052452087)","(1, 2, '0.020000000000000004', '4.222222222222222', 0.7319999933242798)","(1, 3, '0.020000000000000004', '5.333333333333334', 0.7200000286102295)","(1, 4, '0.020000000000000004', '6.444444444444445', 0.7239999771118164)","(1, 5, '0.020000000000000004', '7.555555555555555', 0.7039999961853027)","(1, 6, '0.020000000000000004', '8.666666666666668', 0.7120000123977661)","(1, 7, '0.020000000000000004', '9.777777777777779', 0.6990000009536743)","(1, 8, '0.020000000000000004', '10.88888888888889', 0.6980000138282776)","(1, 9, '0.020000000000000004', '12.0', 0.6710000038146973)"
4.222222222222222,"(2, 0, '0.030000000000000006', '2.0', 0.8730000257492065)","(2, 1, '0.030000000000000006', '3.111111111111111', 0.7990000247955322)","(2, 2, '0.030000000000000006', '4.222222222222222', 0.75)","(2, 3, '0.030000000000000006', '5.333333333333334', 0.7609999775886536)","(2, 4, '0.030000000000000006', '6.444444444444445', 0.7770000100135803)","(2, 5, '0.030000000000000006', '7.555555555555555', 0.7450000047683716)","(2, 6, '0.030000000000000006', '8.666666666666668', 0.7570000290870667)","(2, 7, '0.030000000000000006', '9.777777777777779', 0.7429999709129333)","(2, 8, '0.030000000000000006', '10.88888888888889', 0.7400000095367432)","(2, 9, '0.030000000000000006', '12.0', 0.7429999709129333)"
5.333333333333334,"(3, 0, '0.04000000000000001', '2.0', 0.8930000066757202)","(3, 1, '0.04000000000000001', '3.111111111111111', 0.8679999709129333)","(3, 2, '0.04000000000000001', '4.222222222222222', 0.8190000057220459)","(3, 3, '0.04000000000000001', '5.333333333333334', 0.8050000071525574)","(3, 4, '0.04000000000000001', '6.444444444444445', 0.7960000038146973)","(3, 5, '0.04000000000000001', '7.555555555555555', 0.7540000081062317)","(3, 6, '0.04000000000000001', '8.666666666666668', 0.8059999942779541)","(3, 7, '0.04000000000000001', '9.777777777777779', 0.7760000228881836)","(3, 8, '0.04000000000000001', '10.88888888888889', 0.7440000176429749)","(3, 9, '0.04000000000000001', '12.0', 0.7699999809265137)"
6.444444444444445,"(4, 0, '0.05000000000000001', '2.0', 0.925000011920929)","(4, 1, '0.05000000000000001', '3.111111111111111', 0.8849999904632568)","(4, 2, '0.05000000000000001', '4.222222222222222', 0.8479999899864197)","(4, 3, '0.05000000000000001', '5.333333333333334', 0.8460000157356262)","(4, 4, '0.05000000000000001', '6.444444444444445', 0.8259999752044678)","(4, 5, '0.05000000000000001', '7.555555555555555', 0.828000009059906)","(4, 6, '0.05000000000000001', '8.666666666666668', 0.8029999732971191)","(4, 7, '0.05000000000000001', '9.777777777777779', 0.7879999876022339)","(4, 8, '0.05000000000000001', '10.88888888888889', 0.8059999942779541)","(4, 9, '0.05000000000000001', '12.0', 0.7979999780654907)"
7.555555555555555,"(5, 0, '0.06000000000000001', '2.0', 0.9559999704360962)","(5, 1, '0.06000000000000001', '3.111111111111111', 0.8939999938011169)","(5, 2, '0.06000000000000001', '4.222222222222222', 0.8730000257492065)","(5, 3, '0.06000000000000001', '5.333333333333334', 0.8700000047683716)","(5, 4, '0.06000000000000001', '6.444444444444445', 0.8610000014305115)","(5, 5, '0.06000000000000001', '7.555555555555555', 0.8600000143051147)","(5, 6, '0.06000000000000001', '8.666666666666668', 0.8349999785423279)","(5, 7, '0.06000000000000001', '9.777777777777779', 0.8309999704360962)","(5, 8, '0.06000000000000001', '10.88888888888889', 0.8140000104904175)","(5, 9, '0.06000000000000001', '12.0', 0.8169999718666077)"
8.666666666666668,"(6, 0, '0.07', '2.0', 0.9539999961853027)","(6, 1, '0.07', '3.111111111111111', 0.9139999747276306)","(6, 2, '0.07', '4.222222222222222', 0.8939999938011169)","(6, 3, '0.07', '5.333333333333334', 0.8870000243186951)","(6, 4, '0.07', '6.444444444444445', 0.859000027179718)","(6, 5, '0.07', '7.555555555555555', 0.847000002861023)","(6, 6, '0.07', '8.666666666666668', 0.8569999933242798)","(6, 7, '0.07', '9.777777777777779', 0.8399999737739563)","(6, 8, '0.07', '10.88888888888889', 0.8450000286102295)","(6, 9, '0.07', '12.0', 0.8650000095367432)"
9.777777777777779,"(7, 0, '0.08', '2.0', 0.984000027179718)","(7, 1, '0.08', '3.111111111111111', 0.925000011920929)","(7, 2, '0.08', '4.222222222222222', 0.9380000233650208)","(7, 3, '0.08', '5.333333333333334', 0.8849999904632568)","(7, 4, '0.08', '6.444444444444445', 0.8939999938011169)","(7, 5, '0.08', '7.555555555555555', 0.8690000176429749)","(7, 6, '0.08', '8.666666666666668', 0.8569999933242798)","(7, 7, '0.08', '9.777777777777779', 0.875)","(7, 8, '0.08', '10.88888888888889', 0.8709999918937683)","(7, 9, '0.08', '12.0', 0.8730000257492065)"
10.88888888888889,"(8, 0, '0.09000000000000001', '2.0', 0.9819999933242798)","(8, 1, '0.09000000000000001', '3.111111111111111', 0.9509999752044678)","(8, 2, '0.09000000000000001', '4.222222222222222', 0.9229999780654907)","(8, 3, '0.09000000000000001', '5.333333333333334', 0.9089999794960022)","(8, 4, '0.09000000000000001', '6.444444444444445', 0.8949999809265137)","(8, 5, '0.09000000000000001', '7.555555555555555', 0.8849999904632568)","(8, 6, '0.09000000000000001', '8.666666666666668', 0.8920000195503235)","(8, 7, '0.09000000000000001', '9.777777777777779', 0.8920000195503235)","(8, 8, '0.09000000000000001', '10.88888888888889', 0.8939999938011169)","(8, 9, '0.09000000000000001', '12.0', 0.8849999904632568)"
12.0,"(9, 0, '0.1', '2.0', 0.9869999885559082)","(9, 1, '0.1', '3.111111111111111', 0.9639999866485596)","(9, 2, '0.1', '4.222222222222222', 0.9419999718666077)","(9, 3, '0.1', '5.333333333333334', 0.9279999732971191)","(9, 4, '0.1', '6.444444444444445', 0.9160000085830688)","(9, 5, '0.1', '7.555555555555555', 0.921999990940094)","(9, 6, '0.1', '8.666666666666668', 0.9110000133514404)","(9, 7, '0.1', '9.777777777777779', 0.9010000228881836)","(9, 8, '0.1', '10.88888888888889', 0.8840000033378601)","(9, 9, '0.1', '12.0', 0.8809999823570251)"
