,RRAGC,ORC2,LONRF2,EDEM3,TRIM33,MAP3K6,COL3A1,KDM5B,KDM6B,PHIP,DOCK8,P300
RRAGC,"(0, 0, 'RRAGC', 'RRAGC', 0.5)","(0, 1, 'RRAGC', 'ORC2', 0.8650000095367432)","(0, 2, 'RRAGC', 'LONRF2', 0.9739999771118164)","(0, 3, 'RRAGC', 'EDEM3', 0.9850000143051147)","(0, 4, 'RRAGC', 'TRIM33', 0.9950000047683716)","(0, 5, 'RRAGC', 'MAP3K6', 0.9959999918937683)","(0, 6, 'RRAGC', 'COL3A1', 0.9990000128746033)","(0, 7, 'RRAGC', 'KDM5B', 0.9990000128746033)","(0, 8, 'RRAGC', 'KDM6B', 0.9990000128746033)","(0, 9, 'RRAGC', 'PHIP', 1.0)","(0, 10, 'RRAGC', 'DOCK8', 1.0)","(0, 11, 'RRAGC', 'P300', 1.0)"
ORC2,"(1, 0, 'ORC2', 'RRAGC', 0.0)","(1, 1, 'ORC2', 'ORC2', 0.5)","(1, 2, 'ORC2', 'LONRF2', 0.8270000219345093)","(1, 3, 'ORC2', 'EDEM3', 0.9309999942779541)","(1, 4, 'ORC2', 'TRIM33', 0.9909999966621399)","(1, 5, 'ORC2', 'MAP3K6', 0.9919999837875366)","(1, 6, 'ORC2', 'COL3A1', 0.9990000128746033)","(1, 7, 'ORC2', 'KDM5B', 1.0)","(1, 8, 'ORC2', 'KDM6B', 0.9990000128746033)","(1, 9, 'ORC2', 'PHIP', 1.0)","(1, 10, 'ORC2', 'DOCK8', 1.0)","(1, 11, 'ORC2', 'P300', 1.0)"
LONRF2,"(2, 0, 'LONRF2', 'RRAGC', 0.0)","(2, 1, 'LONRF2', 'ORC2', 0.0)","(2, 2, 'LONRF2', 'LONRF2', 0.5)","(2, 3, 'LONRF2', 'EDEM3', 0.7540000081062317)","(2, 4, 'LONRF2', 'TRIM33', 0.9520000219345093)","(2, 5, 'LONRF2', 'MAP3K6', 0.9509999752044678)","(2, 6, 'LONRF2', 'COL3A1', 0.996999979019165)","(2, 7, 'LONRF2', 'KDM5B', 0.9940000176429749)","(2, 8, 'LONRF2', 'KDM6B', 0.9959999918937683)","(2, 9, 'LONRF2', 'PHIP', 0.9990000128746033)","(2, 10, 'LONRF2', 'DOCK8', 0.9990000128746033)","(2, 11, 'LONRF2', 'P300', 1.0)"
EDEM3,"(3, 0, 'EDEM3', 'RRAGC', 0.0)","(3, 1, 'EDEM3', 'ORC2', 0.0)","(3, 2, 'EDEM3', 'LONRF2', 0.0)","(3, 3, 'EDEM3', 'EDEM3', 0.5)","(3, 4, 'EDEM3', 'TRIM33', 0.8080000281333923)","(3, 5, 'EDEM3', 'MAP3K6', 0.8569999933242798)","(3, 6, 'EDEM3', 'COL3A1', 0.9649999737739563)","(3, 7, 'EDEM3', 'KDM5B', 0.9679999947547913)","(3, 8, 'EDEM3', 'KDM6B', 0.9760000109672546)","(3, 9, 'EDEM3', 'PHIP', 0.996999979019165)","(3, 10, 'EDEM3', 'DOCK8', 0.9959999918937683)","(3, 11, 'EDEM3', 'P300', 1.0)"
TRIM33,"(4, 0, 'TRIM33', 'RRAGC', 0.0)","(4, 1, 'TRIM33', 'ORC2', 0.0)","(4, 2, 'TRIM33', 'LONRF2', 0.0)","(4, 3, 'TRIM33', 'EDEM3', 0.0)","(4, 4, 'TRIM33', 'TRIM33', 0.5)","(4, 5, 'TRIM33', 'MAP3K6', 0.5249999761581421)","(4, 6, 'TRIM33', 'COL3A1', 0.8460000157356262)","(4, 7, 'TRIM33', 'KDM5B', 0.871999979019165)","(4, 8, 'TRIM33', 'KDM6B', 0.8659999966621399)","(4, 9, 'TRIM33', 'PHIP', 0.9739999771118164)","(4, 10, 'TRIM33', 'DOCK8', 0.972000002861023)","(4, 11, 'TRIM33', 'P300', 0.9990000128746033)"
MAP3K6,"(5, 0, 'MAP3K6', 'RRAGC', 0.0)","(5, 1, 'MAP3K6', 'ORC2', 0.0)","(5, 2, 'MAP3K6', 'LONRF2', 0.0)","(5, 3, 'MAP3K6', 'EDEM3', 0.0)","(5, 4, 'MAP3K6', 'TRIM33', 0.0)","(5, 5, 'MAP3K6', 'MAP3K6', 0.5)","(5, 6, 'MAP3K6', 'COL3A1', 0.8149999976158142)","(5, 7, 'MAP3K6', 'KDM5B', 0.8550000190734863)","(5, 8, 'MAP3K6', 'KDM6B', 0.8159999847412109)","(5, 9, 'MAP3K6', 'PHIP', 0.9750000238418579)","(5, 10, 'MAP3K6', 'DOCK8', 0.9589999914169312)","(5, 11, 'MAP3K6', 'P300', 0.9909999966621399)"
COL3A1,"(6, 0, 'COL3A1', 'RRAGC', 0.0)","(6, 1, 'COL3A1', 'ORC2', 0.0)","(6, 2, 'COL3A1', 'LONRF2', 0.0)","(6, 3, 'COL3A1', 'EDEM3', 0.0)","(6, 4, 'COL3A1', 'TRIM33', 0.0)","(6, 5, 'COL3A1', 'MAP3K6', 0.0)","(6, 6, 'COL3A1', 'COL3A1', 0.5)","(6, 7, 'COL3A1', 'KDM5B', 0.550000011920929)","(6, 8, 'COL3A1', 'KDM6B', 0.5)","(6, 9, 'COL3A1', 'PHIP', 0.8899999856948853)","(6, 10, 'COL3A1', 'DOCK8', 0.8339999914169312)","(6, 11, 'COL3A1', 'P300', 0.9779999852180481)"
KDM5B,"(7, 0, 'KDM5B', 'RRAGC', 0.0)","(7, 1, 'KDM5B', 'ORC2', 0.0)","(7, 2, 'KDM5B', 'LONRF2', 0.0)","(7, 3, 'KDM5B', 'EDEM3', 0.0)","(7, 4, 'KDM5B', 'TRIM33', 0.0)","(7, 5, 'KDM5B', 'MAP3K6', 0.0)","(7, 6, 'KDM5B', 'COL3A1', 0.0)","(7, 7, 'KDM5B', 'KDM5B', 0.5)","(7, 8, 'KDM5B', 'KDM6B', 0.5360000133514404)","(7, 9, 'KDM5B', 'PHIP', 0.8259999752044678)","(7, 10, 'KDM5B', 'DOCK8', 0.7649999856948853)","(7, 11, 'KDM5B', 'P300', 0.9629999995231628)"
KDM6B,"(8, 0, 'KDM6B', 'RRAGC', 0.0)","(8, 1, 'KDM6B', 'ORC2', 0.0)","(8, 2, 'KDM6B', 'LONRF2', 0.0)","(8, 3, 'KDM6B', 'EDEM3', 0.0)","(8, 4, 'KDM6B', 'TRIM33', 0.0)","(8, 5, 'KDM6B', 'MAP3K6', 0.0)","(8, 6, 'KDM6B', 'COL3A1', 0.0)","(8, 7, 'KDM6B', 'KDM5B', 0.0)","(8, 8, 'KDM6B', 'KDM6B', 0.5)","(8, 9, 'KDM6B', 'PHIP', 0.8700000047683716)","(8, 10, 'KDM6B', 'DOCK8', 0.8199999928474426)","(8, 11, 'KDM6B', 'P300', 0.9710000157356262)"
PHIP,"(9, 0, 'PHIP', 'RRAGC', 0.0)","(9, 1, 'PHIP', 'ORC2', 0.0)","(9, 2, 'PHIP', 'LONRF2', 0.0)","(9, 3, 'PHIP', 'EDEM3', 0.0)","(9, 4, 'PHIP', 'TRIM33', 0.0)","(9, 5, 'PHIP', 'MAP3K6', 0.0)","(9, 6, 'PHIP', 'COL3A1', 0.0)","(9, 7, 'PHIP', 'KDM5B', 0.0)","(9, 8, 'PHIP', 'KDM6B', 0.0)","(9, 9, 'PHIP', 'PHIP', 0.5)","(9, 10, 'PHIP', 'DOCK8', 0.5929999947547913)","(9, 11, 'PHIP', 'P300', 0.8270000219345093)"
DOCK8,"(10, 0, 'DOCK8', 'RRAGC', 0.0)","(10, 1, 'DOCK8', 'ORC2', 0.0)","(10, 2, 'DOCK8', 'LONRF2', 0.0)","(10, 3, 'DOCK8', 'EDEM3', 0.0)","(10, 4, 'DOCK8', 'TRIM33', 0.0)","(10, 5, 'DOCK8', 'MAP3K6', 0.0)","(10, 6, 'DOCK8', 'COL3A1', 0.0)","(10, 7, 'DOCK8', 'KDM5B', 0.0)","(10, 8, 'DOCK8', 'KDM6B', 0.0)","(10, 9, 'DOCK8', 'PHIP', 0.0)","(10, 10, 'DOCK8', 'DOCK8', 0.5)","(10, 11, 'DOCK8', 'P300', 0.8650000095367432)"
P300,"(11, 0, 'P300', 'RRAGC', 0.0)","(11, 1, 'P300', 'ORC2', 0.0)","(11, 2, 'P300', 'LONRF2', 0.0)","(11, 3, 'P300', 'EDEM3', 0.0)","(11, 4, 'P300', 'TRIM33', 0.0)","(11, 5, 'P300', 'MAP3K6', 0.0)","(11, 6, 'P300', 'COL3A1', 0.0)","(11, 7, 'P300', 'KDM5B', 0.0)","(11, 8, 'P300', 'KDM6B', 0.0)","(11, 9, 'P300', 'PHIP', 0.0)","(11, 10, 'P300', 'DOCK8', 0.0)","(11, 11, 'P300', 'P300', 0.5)"
