,150,200,250,500,750,1000,1500,2000,2500,3000
1,"(0, 0, 1, 10, 0.800000011920929)","(0, 1, 1, 20, 0.8029999732971191)","(0, 2, 1, 30, 0.843999981880188)","(0, 3, 1, 40, 0.796999990940094)","(0, 4, 1, 50, 0.8100000023841858)","(0, 5, 1, 60, 0.8149999976158142)","(0, 6, 1, 70, 0.824999988079071)","(0, 7, 1, 80, 0.8090000152587891)","(0, 8, 1, 90, 0.8259999752044678)","(0, 9, 1, 100, 0.7910000085830688)"
2,"(1, 0, 2, 10, 0.8019999861717224)","(1, 1, 2, 20, 0.8029999732971191)","(1, 2, 2, 30, 0.8109999895095825)","(1, 3, 2, 40, 0.824999988079071)","(1, 4, 2, 50, 0.828000009059906)","(1, 5, 2, 60, 0.8360000252723694)","(1, 6, 2, 70, 0.8149999976158142)","(1, 7, 2, 80, 0.8090000152587891)","(1, 8, 2, 90, 0.8349999785423279)","(1, 9, 2, 100, 0.8220000267028809)"
5,"(2, 0, 5, 10, 0.796999990940094)","(2, 1, 5, 20, 0.8190000057220459)","(2, 2, 5, 30, 0.8299999833106995)","(2, 3, 5, 40, 0.8399999737739563)","(2, 4, 5, 50, 0.8420000076293945)","(2, 5, 5, 60, 0.8510000109672546)","(2, 6, 5, 70, 0.8500000238418579)","(2, 7, 5, 80, 0.871999979019165)","(2, 8, 5, 90, 0.8930000066757202)","(2, 9, 5, 100, 0.8790000081062317)"
7,"(3, 0, 7, 10, 0.8149999976158142)","(3, 1, 7, 20, 0.8080000281333923)","(3, 2, 7, 30, 0.8410000205039978)","(3, 3, 7, 40, 0.8420000076293945)","(3, 4, 7, 50, 0.8610000014305115)","(3, 5, 7, 60, 0.8899999856948853)","(3, 6, 7, 70, 0.890999972820282)","(3, 7, 7, 80, 0.9039999842643738)","(3, 8, 7, 90, 0.9020000100135803)","(3, 9, 7, 100, 0.8870000243186951)"
10,"(4, 0, 10, 10, 0.7850000262260437)","(4, 1, 10, 20, 0.8169999718666077)","(4, 2, 10, 30, 0.8450000286102295)","(4, 3, 10, 40, 0.8659999966621399)","(4, 4, 10, 50, 0.8820000290870667)","(4, 5, 10, 60, 0.9120000004768372)","(4, 6, 10, 70, 0.9160000085830688)","(4, 7, 10, 80, 0.921999990940094)","(4, 8, 10, 90, 0.9449999928474426)","(4, 9, 10, 100, 0.9520000219345093)"
12,"(5, 0, 12, 10, 0.7829999923706055)","(5, 1, 12, 20, 0.8339999914169312)","(5, 2, 12, 30, 0.8550000190734863)","(5, 3, 12, 40, 0.8799999952316284)","(5, 4, 12, 50, 0.9079999923706055)","(5, 5, 12, 60, 0.9229999780654907)","(5, 6, 12, 70, 0.9300000071525574)","(5, 7, 12, 80, 0.9430000185966492)","(5, 8, 12, 90, 0.949999988079071)","(5, 9, 12, 100, 0.9539999961853027)"
15,"(6, 0, 15, 10, 0.8069999814033508)","(6, 1, 15, 20, 0.8389999866485596)","(6, 2, 15, 30, 0.8790000081062317)","(6, 3, 15, 40, 0.875)","(6, 4, 15, 50, 0.9120000004768372)","(6, 5, 15, 60, 0.9210000038146973)","(6, 6, 15, 70, 0.9559999704360962)","(6, 7, 15, 80, 0.9539999961853027)","(6, 8, 15, 90, 0.953000009059906)","(6, 9, 15, 100, 0.9739999771118164)"
20,"(7, 0, 20, 10, 0.7940000295639038)","(7, 1, 20, 20, 0.8420000076293945)","(7, 2, 20, 30, 0.8989999890327454)","(7, 3, 20, 40, 0.9269999861717224)","(7, 4, 20, 50, 0.9290000200271606)","(7, 5, 20, 60, 0.953000009059906)","(7, 6, 20, 70, 0.9599999785423279)","(7, 7, 20, 80, 0.9729999899864197)","(7, 8, 20, 90, 0.953000009059906)","(7, 9, 20, 100, 0.9850000143051147)"
25,"(8, 0, 25, 10, 0.8119999766349792)","(8, 1, 25, 20, 0.8299999833106995)","(8, 2, 25, 30, 0.9039999842643738)","(8, 3, 25, 40, 0.9399999976158142)","(8, 4, 25, 50, 0.9539999961853027)","(8, 5, 25, 60, 0.9679999947547913)","(8, 6, 25, 70, 0.968999981880188)","(8, 7, 25, 80, 0.9779999852180481)","(8, 8, 25, 90, 0.9850000143051147)","(8, 9, 25, 100, 0.9909999966621399)"
30,"(9, 0, 30, 10, 0.8240000009536743)","(9, 1, 30, 20, 0.9010000228881836)","(9, 2, 30, 30, 0.9309999942779541)","(9, 3, 30, 40, 0.9449999928474426)","(9, 4, 30, 50, 0.9700000286102295)","(9, 5, 30, 60, 0.9739999771118164)","(9, 6, 30, 70, 0.9829999804496765)","(9, 7, 30, 80, 0.9700000286102295)","(9, 8, 30, 90, 0.9860000014305115)","(9, 9, 30, 100, 0.9879999756813049)"
