,0.01,0.020000000000000004,0.030000000000000006,0.04000000000000001,0.05000000000000001,0.06000000000000001,0.07,0.08,0.09000000000000001,0.1
0.01,"(0, 0, '0.01', '0.01', 0.878000020980835)","(0, 1, '0.01', '0.020000000000000004', 0.9980000257492065)","(0, 2, '0.01', '0.030000000000000006', 0.9990000128746033)","(0, 3, '0.01', '0.04000000000000001', 1.0)","(0, 4, '0.01', '0.05000000000000001', 1.0)","(0, 5, '0.01', '0.06000000000000001', 1.0)","(0, 6, '0.01', '0.07', 1.0)","(0, 7, '0.01', '0.08', 1.0)","(0, 8, '0.01', '0.09000000000000001', 1.0)","(0, 9, '0.01', '0.1', 1.0)"
0.020000000000000004,"(1, 0, '0.020000000000000004', '0.01', 0.9150000214576721)","(1, 1, '0.020000000000000004', '0.020000000000000004', 0.9480000138282776)","(1, 2, '0.020000000000000004', '0.030000000000000006', 0.9940000176429749)","(1, 3, '0.020000000000000004', '0.04000000000000001', 1.0)","(1, 4, '0.020000000000000004', '0.05000000000000001', 1.0)","(1, 5, '0.020000000000000004', '0.06000000000000001', 1.0)","(1, 6, '0.020000000000000004', '0.07', 1.0)","(1, 7, '0.020000000000000004', '0.08', 1.0)","(1, 8, '0.020000000000000004', '0.09000000000000001', 1.0)","(1, 9, '0.020000000000000004', '0.1', 1.0)"
0.030000000000000006,"(2, 0, '0.030000000000000006', '0.01', 0.9869999885559082)","(2, 1, '0.030000000000000006', '0.020000000000000004', 0.902999997138977)","(2, 2, '0.030000000000000006', '0.030000000000000006', 0.9670000076293945)","(2, 3, '0.030000000000000006', '0.04000000000000001', 1.0)","(2, 4, '0.030000000000000006', '0.05000000000000001', 1.0)","(2, 5, '0.030000000000000006', '0.06000000000000001', 1.0)","(2, 6, '0.030000000000000006', '0.07', 1.0)","(2, 7, '0.030000000000000006', '0.08', 1.0)","(2, 8, '0.030000000000000006', '0.09000000000000001', 1.0)","(2, 9, '0.030000000000000006', '0.1', 1.0)"
0.04000000000000001,"(3, 0, '0.04000000000000001', '0.01', 1.0)","(3, 1, '0.04000000000000001', '0.020000000000000004', 0.9399999976158142)","(3, 2, '0.04000000000000001', '0.030000000000000006', 0.9210000038146973)","(3, 3, '0.04000000000000001', '0.04000000000000001', 0.9810000061988831)","(3, 4, '0.04000000000000001', '0.05000000000000001', 1.0)","(3, 5, '0.04000000000000001', '0.06000000000000001', 1.0)","(3, 6, '0.04000000000000001', '0.07', 1.0)","(3, 7, '0.04000000000000001', '0.08', 1.0)","(3, 8, '0.04000000000000001', '0.09000000000000001', 1.0)","(3, 9, '0.04000000000000001', '0.1', 1.0)"
0.05000000000000001,"(4, 0, '0.05000000000000001', '0.01', 1.0)","(4, 1, '0.05000000000000001', '0.020000000000000004', 0.9919999837875366)","(4, 2, '0.05000000000000001', '0.030000000000000006', 0.9120000004768372)","(4, 3, '0.05000000000000001', '0.04000000000000001', 0.9240000247955322)","(4, 4, '0.05000000000000001', '0.05000000000000001', 0.9940000176429749)","(4, 5, '0.05000000000000001', '0.06000000000000001', 0.9980000257492065)","(4, 6, '0.05000000000000001', '0.07', 1.0)","(4, 7, '0.05000000000000001', '0.08', 1.0)","(4, 8, '0.05000000000000001', '0.09000000000000001', 1.0)","(4, 9, '0.05000000000000001', '0.1', 1.0)"
0.06000000000000001,"(5, 0, '0.06000000000000001', '0.01', 1.0)","(5, 1, '0.06000000000000001', '0.020000000000000004', 0.9990000128746033)","(5, 2, '0.06000000000000001', '0.030000000000000006', 0.9610000252723694)","(5, 3, '0.06000000000000001', '0.04000000000000001', 0.8880000114440918)","(5, 4, '0.06000000000000001', '0.05000000000000001', 0.9539999961853027)","(5, 5, '0.06000000000000001', '0.06000000000000001', 0.9940000176429749)","(5, 6, '0.06000000000000001', '0.07', 0.9990000128746033)","(5, 7, '0.06000000000000001', '0.08', 1.0)","(5, 8, '0.06000000000000001', '0.09000000000000001', 1.0)","(5, 9, '0.06000000000000001', '0.1', 1.0)"
0.07,"(6, 0, '0.07', '0.01', 1.0)","(6, 1, '0.07', '0.020000000000000004', 1.0)","(6, 2, '0.07', '0.030000000000000006', 0.9959999918937683)","(6, 3, '0.07', '0.04000000000000001', 0.925000011920929)","(6, 4, '0.07', '0.05000000000000001', 0.8989999890327454)","(6, 5, '0.07', '0.06000000000000001', 0.9629999995231628)","(6, 6, '0.07', '0.07', 0.996999979019165)","(6, 7, '0.07', '0.08', 1.0)","(6, 8, '0.07', '0.09000000000000001', 1.0)","(6, 9, '0.07', '0.1', 1.0)"
0.08,"(7, 0, '0.08', '0.01', 1.0)","(7, 1, '0.08', '0.020000000000000004', 1.0)","(7, 2, '0.08', '0.030000000000000006', 1.0)","(7, 3, '0.08', '0.04000000000000001', 0.972000002861023)","(7, 4, '0.08', '0.05000000000000001', 0.8920000195503235)","(7, 5, '0.08', '0.06000000000000001', 0.9350000023841858)","(7, 6, '0.08', '0.07', 0.9810000061988831)","(7, 7, '0.08', '0.08', 0.9990000128746033)","(7, 8, '0.08', '0.09000000000000001', 1.0)","(7, 9, '0.08', '0.1', 1.0)"
0.09000000000000001,"(8, 0, '0.09000000000000001', '0.01', 1.0)","(8, 1, '0.09000000000000001', '0.020000000000000004', 1.0)","(8, 2, '0.09000000000000001', '0.030000000000000006', 1.0)","(8, 3, '0.09000000000000001', '0.04000000000000001', 0.9909999966621399)","(8, 4, '0.09000000000000001', '0.05000000000000001', 0.9390000104904175)","(8, 5, '0.09000000000000001', '0.06000000000000001', 0.8700000047683716)","(8, 6, '0.09000000000000001', '0.07', 0.9330000281333923)","(8, 7, '0.09000000000000001', '0.08', 0.9850000143051147)","(8, 8, '0.09000000000000001', '0.09000000000000001', 0.9990000128746033)","(8, 9, '0.09000000000000001', '0.1', 1.0)"
0.1,"(9, 0, '0.1', '0.01', 1.0)","(9, 1, '0.1', '0.020000000000000004', 1.0)","(9, 2, '0.1', '0.030000000000000006', 1.0)","(9, 3, '0.1', '0.04000000000000001', 1.0)","(9, 4, '0.1', '0.05000000000000001', 0.9800000190734863)","(9, 5, '0.1', '0.06000000000000001', 0.9039999842643738)","(9, 6, '0.1', '0.07', 0.925000011920929)","(9, 7, '0.1', '0.08', 0.9459999799728394)","(9, 8, '0.1', '0.09000000000000001', 0.9660000205039978)","(9, 9, '0.1', '0.1', 1.0)"
