,2.0,3.111111111111111,4.222222222222222,5.333333333333334,6.444444444444445,7.555555555555555,8.666666666666668,9.777777777777779,10.88888888888889,12.0
2.0,"(0, 0, '2.0', '2.0', 0.9570000171661377)","(0, 1, '2.0', '3.111111111111111', 0.5)","(0, 2, '2.0', '4.222222222222222', 0.8799999952316284)","(0, 3, '2.0', '5.333333333333334', 0.9610000252723694)","(0, 4, '2.0', '6.444444444444445', 0.9959999918937683)","(0, 5, '2.0', '7.555555555555555', 0.9919999837875366)","(0, 6, '2.0', '8.666666666666668', 0.996999979019165)","(0, 7, '2.0', '9.777777777777779', 1.0)","(0, 8, '2.0', '10.88888888888889', 1.0)","(0, 9, '2.0', '12.0', 1.0)"
3.111111111111111,"(1, 0, '3.111111111111111', '2.0', 0.9980000257492065)","(1, 1, '3.111111111111111', '3.111111111111111', 0.9039999842643738)","(1, 2, '3.111111111111111', '4.222222222222222', 0.609000027179718)","(1, 3, '3.111111111111111', '5.333333333333334', 0.6930000185966492)","(1, 4, '3.111111111111111', '6.444444444444445', 0.8259999752044678)","(1, 5, '3.111111111111111', '7.555555555555555', 0.9110000133514404)","(1, 6, '3.111111111111111', '8.666666666666668', 0.9660000205039978)","(1, 7, '3.111111111111111', '9.777777777777779', 0.9800000190734863)","(1, 8, '3.111111111111111', '10.88888888888889', 0.9900000095367432)","(1, 9, '3.111111111111111', '12.0', 0.996999979019165)"
4.222222222222222,"(2, 0, '4.222222222222222', '2.0', 0.9990000128746033)","(2, 1, '4.222222222222222', '3.111111111111111', 0.9879999756813049)","(2, 2, '4.222222222222222', '4.222222222222222', 0.8849999904632568)","(2, 3, '4.222222222222222', '5.333333333333334', 0.6800000071525574)","(2, 4, '4.222222222222222', '6.444444444444445', 0.5)","(2, 5, '4.222222222222222', '7.555555555555555', 0.6930000185966492)","(2, 6, '4.222222222222222', '8.666666666666668', 0.8209999799728394)","(2, 7, '4.222222222222222', '9.777777777777779', 0.8769999742507935)","(2, 8, '4.222222222222222', '10.88888888888889', 0.9240000247955322)","(2, 9, '4.222222222222222', '12.0', 0.9480000138282776)"
5.333333333333334,"(3, 0, '5.333333333333334', '2.0', 1.0)","(3, 1, '5.333333333333334', '3.111111111111111', 0.9950000047683716)","(3, 2, '5.333333333333334', '4.222222222222222', 0.9480000138282776)","(3, 3, '5.333333333333334', '5.333333333333334', 0.8500000238418579)","(3, 4, '5.333333333333334', '6.444444444444445', 0.6980000138282776)","(3, 5, '5.333333333333334', '7.555555555555555', 0.5)","(3, 6, '5.333333333333334', '8.666666666666668', 0.5649999976158142)","(3, 7, '5.333333333333334', '9.777777777777779', 0.6919999718666077)","(3, 8, '5.333333333333334', '10.88888888888889', 0.8169999718666077)","(3, 9, '5.333333333333334', '12.0', 0.8619999885559082)"
6.444444444444445,"(4, 0, '6.444444444444445', '2.0', 1.0)","(4, 1, '6.444444444444445', '3.111111111111111', 0.996999979019165)","(4, 2, '6.444444444444445', '4.222222222222222', 0.9829999804496765)","(4, 3, '6.444444444444445', '5.333333333333334', 0.9470000267028809)","(4, 4, '6.444444444444445', '6.444444444444445', 0.8519999980926514)","(4, 5, '6.444444444444445', '7.555555555555555', 0.7519999742507935)","(4, 6, '6.444444444444445', '8.666666666666668', 0.5809999704360962)","(4, 7, '6.444444444444445', '9.777777777777779', 0.5)","(4, 8, '6.444444444444445', '10.88888888888889', 0.6439999938011169)","(4, 9, '6.444444444444445', '12.0', 0.7279999852180481)"
7.555555555555555,"(5, 0, '7.555555555555555', '2.0', 1.0)","(5, 1, '7.555555555555555', '3.111111111111111', 1.0)","(5, 2, '7.555555555555555', '4.222222222222222', 0.996999979019165)","(5, 3, '7.555555555555555', '5.333333333333334', 0.9729999899864197)","(5, 4, '7.555555555555555', '6.444444444444445', 0.9309999942779541)","(5, 5, '7.555555555555555', '7.555555555555555', 0.8489999771118164)","(5, 6, '7.555555555555555', '8.666666666666668', 0.7350000143051147)","(5, 7, '7.555555555555555', '9.777777777777779', 0.6330000162124634)","(5, 8, '7.555555555555555', '10.88888888888889', 0.5)","(5, 9, '7.555555555555555', '12.0', 0.5659999847412109)"
8.666666666666668,"(6, 0, '8.666666666666668', '2.0', 1.0)","(6, 1, '8.666666666666668', '3.111111111111111', 1.0)","(6, 2, '8.666666666666668', '4.222222222222222', 0.9990000128746033)","(6, 3, '8.666666666666668', '5.333333333333334', 0.9779999852180481)","(6, 4, '8.666666666666668', '6.444444444444445', 0.9610000252723694)","(6, 5, '8.666666666666668', '7.555555555555555', 0.9150000214576721)","(6, 6, '8.666666666666668', '8.666666666666668', 0.8190000057220459)","(6, 7, '8.666666666666668', '9.777777777777779', 0.7739999890327454)","(6, 8, '8.666666666666668', '10.88888888888889', 0.6449999809265137)","(6, 9, '8.666666666666668', '12.0', 0.597000002861023)"
9.777777777777779,"(7, 0, '9.777777777777779', '2.0', 1.0)","(7, 1, '9.777777777777779', '3.111111111111111', 1.0)","(7, 2, '9.777777777777779', '4.222222222222222', 0.9990000128746033)","(7, 3, '9.777777777777779', '5.333333333333334', 0.9959999918937683)","(7, 4, '9.777777777777779', '6.444444444444445', 0.9810000061988831)","(7, 5, '9.777777777777779', '7.555555555555555', 0.9509999752044678)","(7, 6, '9.777777777777779', '8.666666666666668', 0.9070000052452087)","(7, 7, '9.777777777777779', '9.777777777777779', 0.8190000057220459)","(7, 8, '9.777777777777779', '10.88888888888889', 0.7639999985694885)","(7, 9, '9.777777777777779', '12.0', 0.6779999732971191)"
10.88888888888889,"(8, 0, '10.88888888888889', '2.0', 1.0)","(8, 1, '10.88888888888889', '3.111111111111111', 1.0)","(8, 2, '10.88888888888889', '4.222222222222222', 1.0)","(8, 3, '10.88888888888889', '5.333333333333334', 0.9950000047683716)","(8, 4, '10.88888888888889', '6.444444444444445', 0.9940000176429749)","(8, 5, '10.88888888888889', '7.555555555555555', 0.9700000286102295)","(8, 6, '10.88888888888889', '8.666666666666668', 0.9359999895095825)","(8, 7, '10.88888888888889', '9.777777777777779', 0.8989999890327454)","(8, 8, '10.88888888888889', '10.88888888888889', 0.847000002861023)","(8, 9, '10.88888888888889', '12.0', 0.7599999904632568)"
12.0,"(9, 0, '12.0', '2.0', 1.0)","(9, 1, '12.0', '3.111111111111111', 1.0)","(9, 2, '12.0', '4.222222222222222', 1.0)","(9, 3, '12.0', '5.333333333333334', 0.9980000257492065)","(9, 4, '12.0', '6.444444444444445', 0.996999979019165)","(9, 5, '12.0', '7.555555555555555', 0.9649999737739563)","(9, 6, '12.0', '8.666666666666668', 0.9629999995231628)","(9, 7, '12.0', '9.777777777777779', 0.921999990940094)","(9, 8, '12.0', '10.88888888888889', 0.8579999804496765)","(9, 9, '12.0', '12.0', 0.8100000023841858)"
