,150,200,250,500,750,1000,1500,2000,2500,3000
1,"(0, 0, 1, 10, 0.8009999990463257)","(0, 1, 1, 20, 0.796999990940094)","(0, 2, 1, 30, 0.8220000267028809)","(0, 3, 1, 40, 0.8100000023841858)","(0, 4, 1, 50, 0.8199999928474426)","(0, 5, 1, 60, 0.7979999780654907)","(0, 6, 1, 70, 0.7990000247955322)","(0, 7, 1, 80, 0.8360000252723694)","(0, 8, 1, 90, 0.8169999718666077)","(0, 9, 1, 100, 0.8169999718666077)"
2,"(1, 0, 2, 10, 0.7919999957084656)","(1, 1, 2, 20, 0.8130000233650208)","(1, 2, 2, 30, 0.8119999766349792)","(1, 3, 2, 40, 0.8069999814033508)","(1, 4, 2, 50, 0.8009999990463257)","(1, 5, 2, 60, 0.8339999914169312)","(1, 6, 2, 70, 0.8339999914169312)","(1, 7, 2, 80, 0.8050000071525574)","(1, 8, 2, 90, 0.8230000138282776)","(1, 9, 2, 100, 0.8379999995231628)"
5,"(2, 0, 5, 10, 0.7910000085830688)","(2, 1, 5, 20, 0.8119999766349792)","(2, 2, 5, 30, 0.8040000200271606)","(2, 3, 5, 40, 0.8450000286102295)","(2, 4, 5, 50, 0.8299999833106995)","(2, 5, 5, 60, 0.8489999771118164)","(2, 6, 5, 70, 0.8709999918937683)","(2, 7, 5, 80, 0.8759999871253967)","(2, 8, 5, 90, 0.8889999985694885)","(2, 9, 5, 100, 0.8870000243186951)"
7,"(3, 0, 7, 10, 0.8069999814033508)","(3, 1, 7, 20, 0.8389999866485596)","(3, 2, 7, 30, 0.8140000104904175)","(3, 3, 7, 40, 0.8420000076293945)","(3, 4, 7, 50, 0.8730000257492065)","(3, 5, 7, 60, 0.8550000190734863)","(3, 6, 7, 70, 0.8939999938011169)","(3, 7, 7, 80, 0.8939999938011169)","(3, 8, 7, 90, 0.8920000195503235)","(3, 9, 7, 100, 0.9210000038146973)"
10,"(4, 0, 10, 10, 0.8220000267028809)","(4, 1, 10, 20, 0.8309999704360962)","(4, 2, 10, 30, 0.8659999966621399)","(4, 3, 10, 40, 0.8690000176429749)","(4, 4, 10, 50, 0.8880000114440918)","(4, 5, 10, 60, 0.9049999713897705)","(4, 6, 10, 70, 0.871999979019165)","(4, 7, 10, 80, 0.9169999957084656)","(4, 8, 10, 90, 0.9419999718666077)","(4, 9, 10, 100, 0.9309999942779541)"
12,"(5, 0, 12, 10, 0.7979999780654907)","(5, 1, 12, 20, 0.8270000219345093)","(5, 2, 12, 30, 0.828000009059906)","(5, 3, 12, 40, 0.8659999966621399)","(5, 4, 12, 50, 0.8980000019073486)","(5, 5, 12, 60, 0.9139999747276306)","(5, 6, 12, 70, 0.9350000023841858)","(5, 7, 12, 80, 0.9480000138282776)","(5, 8, 12, 90, 0.9520000219345093)","(5, 9, 12, 100, 0.9580000042915344)"
15,"(6, 0, 15, 10, 0.8289999961853027)","(6, 1, 15, 20, 0.8410000205039978)","(6, 2, 15, 30, 0.8399999737739563)","(6, 3, 15, 40, 0.8820000290870667)","(6, 4, 15, 50, 0.9229999780654907)","(6, 5, 15, 60, 0.9470000267028809)","(6, 6, 15, 70, 0.9380000233650208)","(6, 7, 15, 80, 0.9369999766349792)","(6, 8, 15, 90, 0.9610000252723694)","(6, 9, 15, 100, 0.9649999737739563)"
20,"(7, 0, 20, 10, 0.7960000038146973)","(7, 1, 20, 20, 0.8610000014305115)","(7, 2, 20, 30, 0.8849999904632568)","(7, 3, 20, 40, 0.925000011920929)","(7, 4, 20, 50, 0.9350000023841858)","(7, 5, 20, 60, 0.9580000042915344)","(7, 6, 20, 70, 0.9649999737739563)","(7, 7, 20, 80, 0.9729999899864197)","(7, 8, 20, 90, 0.9679999947547913)","(7, 9, 20, 100, 0.9800000190734863)"
25,"(8, 0, 25, 10, 0.8220000267028809)","(8, 1, 25, 20, 0.8240000009536743)","(8, 2, 25, 30, 0.9049999713897705)","(8, 3, 25, 40, 0.9330000281333923)","(8, 4, 25, 50, 0.9700000286102295)","(8, 5, 25, 60, 0.9459999799728394)","(8, 6, 25, 70, 0.9710000157356262)","(8, 7, 25, 80, 0.9779999852180481)","(8, 8, 25, 90, 0.9800000190734863)","(8, 9, 25, 100, 0.9890000224113464)"
30,"(9, 0, 30, 10, 0.8159999847412109)","(9, 1, 30, 20, 0.9020000100135803)","(9, 2, 30, 30, 0.9279999732971191)","(9, 3, 30, 40, 0.9369999766349792)","(9, 4, 30, 50, 0.9629999995231628)","(9, 5, 30, 60, 0.9679999947547913)","(9, 6, 30, 70, 0.984000027179718)","(9, 7, 30, 80, 0.9850000143051147)","(9, 8, 30, 90, 0.9929999709129333)","(9, 9, 30, 100, 0.9919999837875366)"
